di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22810,HZ448213,9/25/2016 17:52,000XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,114,1,42,32,01A,1177320,1900178,2016,10/2/2016 15:49,41.881423,-87.62434489,"(41.881423, -87.624344893)"
22815,HZ437041,9/22/2016 17:42,059XX S UNION AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,711,7,20,68,01A,1172652,1865406,2016,10/3/2016 15:54,41.78611012,-87.64251225,"(41.78611012, -87.642512248)"
22811,HZ450909,9/26/2016 19:11,051XX S WASHTENAW AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,923,9,14,63,01A,1159243,1870485,2016,10/3/2016 15:57,41.8003327,-87.69153745,"(41.800332704, -87.691537449)"
22812,HZ450668,9/26/2016 19:51,120XX S PRAIRIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,FALSE,FALSE,532,5,9,53,01A,1180070,1825364,2016,10/3/2016 15:57,41.67606323,-87.61653702,"(41.676063226, -87.616537019)"
22813,HZ005025,9/27/2016 5:00,015XX W JONQUIL TER,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,2422,24,49,1,01A,1164516,1950995,2016,10/4/2016 15:52,42.02114791,-87.66991598,"(42.021147909, -87.669915975)"
22814,HZ452021,9/27/2016 16:36,038XX W 84TH PL,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,FALSE,FALSE,834,8,18,70,01A,1152181,1848262,2016,10/4/2016 15:52,41.73949101,-87.71801929,"(41.739491013, -87.718019287)"
22816,HZ447257,9/27/2016 16:59,072XX S ABERDEEN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,733,7,17,68,01A,1170235,1856804,2016,10/4/2016 15:52,41.76255813,-87.65162416,"(41.762558132, -87.651624155)"
22817,HZ454488,9/29/2016 14:54,011XX W 57TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,712,7,16,68,01A,1169490,1866993,2016,10/6/2016 15:54,41.79053416,-87.65405972,"(41.790534163, -87.654059715)"
22818,HZ456504,10/1/2016 0:52,045XX S WOOD ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,924,9,20,61,01A,1165108,1874633,2016,10/8/2016 15:46,41.81159312,-87.66991121,"(41.81159312, -87.669911205)"
22819,HZ456531,10/1/2016 2:38,007XX E 79TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,624,6,6,69,01A,1182501,1852786,2016,10/8/2016 15:46,41.75125678,-87.60679212,"(41.751256776, -87.606792121)"
22820,HZ457906,10/2/2016 9:12,020XX S CALIFORNIA AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1023,10,28,30,01A,1158012,1890066,2016,10/9/2016 15:49,41.85409047,-87.69551881,"(41.854090469, -87.695518813)"
22821,HZ458341,10/2/2016 16:20,021XX S HOMAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1024,10,24,30,01A,1154026,1889604,2016,10/9/2016 15:49,41.852903,-87.71016137,"(41.852903003, -87.710161371)"
22822,HZ458845,10/3/2016 3:34,001XX N CENTRAL AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,1512,15,29,25,01A,1139023,1900544,2016,10/10/2016 15:48,41.88320944,-87.76496209,"(41.883209435, -87.764962093)"
22823,HZ459434,10/3/2016 14:56,106XX S STATE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,512,5,34,49,01A,1178141,1834249,2016,10/10/2016 15:48,41.70048879,-87.62332953,"(41.700488788, -87.623329533)"
22824,HZ460302,10/4/2016 7:59,092XX S BISHOP ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2222,22,21,73,01A,1168288,1843486,2016,10/11/2016 15:51,41.72605379,-87.65914265,"(41.72605379, -87.659142645)"
22825,HZ461450,10/4/2016 23:30,077XX S CALUMET AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,623,6,6,69,01A,1179815,1853763,2016,10/11/2016 15:51,41.75399959,-87.61660508,"(41.753999593, -87.616605079)"
22826,HZ461567,10/5/2016 3:05,080XX S MARSHFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,611,6,21,71,01A,1166742,1851352,2016,10/12/2016 15:49,41.74767234,-87.66458187,"(41.74767234, -87.664581873)"
22827,HZ462180,10/5/2016 14:53,032XX W 64TH PL,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,823,8,15,66,01A,1155963,1861673,2016,10/20/2016 15:50,41.77621788,-87.70380294,"(41.776217883, -87.703802936)"
22612,HZ334486,7/11/2016 12:56,024XX S WASHTENAW AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1034,10,12,30,01A,1158745,1887903,2016,10/13/2016 15:46,41.84813999,-87.69288762,"(41.848139992, -87.69288762)"
22839,HZ446938,9/24/2016 0:45,006XX W 21ST ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1235,12,25,31,01A,,,2016,10/13/2016 15:46,,,
